Birds_spp,Sample,Year,longitude,latitude
Blackbird,22_5_B,2022.0,-2.437425008403205,52.78432443878136
Robin,22_5_C,2022.0,-2.4341254934056975,52.78474914875585
Robin,22_5_B,2022.0,-2.4372919448892194,52.784523348508394
Robin,22_5_A,2022.0,-2.437217928294616,52.784394491595606
Robin,22_5_B,2022.0,-2.4376689542970533,52.784304641679796
Robin,22_5_A,2022.0,-2.4381177629082957,52.78399433267222
Chiffchaff,22_5_B,2022.0,-2.439104823311523,52.784648929170054
Chiffchaff,22_5_A,2022.0,-2.438220126934682,52.78448842721347
Chiffchaff,22_5_C,2022.0,-2.438122042141247,52.78351559160777
Chiffchaff,22_5_B,2022.0,-2.4380693398563733,52.78344019809992
Chiffchaff,22_5_A,2022.0,-2.437831320716231,52.78353241284631
Whitethroat,22_5_B,2022.0,-2.4397482994072957,52.78116766759441
Whitethroat,22_5_B,2022.0,-2.440418188208388,52.78090430847124
Blackcap,22_5_C,2022.0,-2.4416584527368754,52.78178426558655
Blackcap,22_5_C,2022.0,-2.4396104432519192,52.781228149547815
Woodpigeon,22_5_B,2022.0,-2.4412410291341433,52.78060739256908
Woodpigeon,22_5_B,2022.0,-2.438935297656073,52.78146153812504
Woodpigeon,22_5_C,2022.0,-2.438333023665268,52.78205747697754
Skylark,22_5_C,2022.0,-2.4408963565937785,52.782710652094885
Skylark,22_5_B,2022.0,-2.440753157897919,52.782732174186165
Wren,22_5_A,2022.0,-2.4398763861394235,52.781119215884345
Wren,22_5_B,2022.0,-2.441093226214095,52.78066191618279
Wren,22_5_C,2022.0,-2.440743375999499,52.78078615718286
Wren,22_5_A,2022.0,-2.4384182067747493,52.78167634736984
Wren,22_5_A,2022.0,-2.4375956273531023,52.78200322802584
Wren,22_5_C,2022.0,-2.4376401936726775,52.782009060646985
Wren,22_5_B,2022.0,-2.437546296470579,52.7820154042131
Chiffchaff,22_5_A,2022.0,-2.43769428903524,52.7819788755899
Chiffchaff,22_5_B,2022.0,-2.4378965872998224,52.78193315064187
Chiffchaff,22_5_C,2022.0,-2.4377711152860906,52.78224246360585
Chiffchaff,22_5_A,2022.0,-2.439206400142411,52.781373576664606
Chiffchaff,22_5_A,2022.0,-2.440812363268692,52.78076191242738
Robin,22_5_A,2022.0,-2.439408482472137,52.78130686013691
Dunnock,22_5_B,2022.0,-2.437294967179574,52.78210328894718
Dunnock,22_5_B,2022.0,-2.440972331257014,52.78093223457091
Blackbird,22_5_B,2022.0,-2.438041019950182,52.78203456761564
Blackbird,22_5_C,2022.0,-2.4381445663121912,52.78200419967998
Song thrush,22_5_B,2022.0,-2.4385877272286134,52.78181365342446
Blue tit,22_6_C,2022.0,-2.432296034589805,52.78916714279475
Blue tit,22_6_B,2022.0,-2.4328588217054445,52.78917418713838
Blue tit,22_6_C,2022.0,-2.4328806068287054,52.78910133070449
Blue tit,22_6_A,2022.0,-2.4327683386046277,52.7891290317824
Blue tit,22_6_C,2022.0,-2.4334684279941756,52.788607939426456
Blackcap,22_6_C,2022.0,-2.4333768645770557,52.78920868367285
Blackcap,22_6_B,2022.0,-2.436374741474558,52.78663230359257
Blackbird,22_6_B,2022.0,-2.4328089228764798,52.78943818557518
Blackbird,22_6_B,2022.0,-2.4361480831499875,52.786473937790724
Blackbird,22_6_A,2022.0,-2.435856363095137,52.78656143292858
Blackbird,22_6_C,2022.0,-2.4343789334593753,52.786616887788725
Blackbird,22_6_A,2022.0,-2.4330602660812084,52.78679455570772
Dunnock,22_6_B,2022.0,-2.4351948550164177,52.78643195404788
Song thrush,22_6_C,2022.0,-2.433736335840361,52.787633568425036
Song thrush,22_6_B,2022.0,-2.4338407350902993,52.787569506733895
Song thrush,22_6_B,2022.0,-2.4323534654160874,52.78739299581782
Woodpigeon,22_6_B,2022.0,-2.4322243023725907,52.78722971852135
Chiffchaff,22_6_B,2022.0,-2.432528004570769,52.7875924959544
Chiffchaff,22_6_C,2022.0,-2.4336156817757915,52.78908045112496
Chiffchaff,22_6_B,2022.0,-2.433720265691846,52.78903458311647
Wren,22_6_C,2022.0,-2.433972546379802,52.78875164963831
Wren,22_6_B,2022.0,-2.4340222562413576,52.788469457128684
Wren,22_6_A,2022.0,-2.4340112212273537,52.78811470996909
Wren,22_6_B,2022.0,-2.4331690501313723,52.78868181021183
Wren,22_6_C,2022.0,-2.432681196873987,52.78942045740744
Wren,22_6_C,2022.0,-2.4321210738835917,52.7874120370512
Skylark,22_6_A,2022.0,-2.4347091475939133,52.78737983579948
Skylark,22_6_C,2022.0,-2.4340884152528965,52.786072124366605
Robin,22_6_A,2022.0,-2.433787120916725,52.786705476623624
Chaffinch,22_6_A,2022.0,-2.433225586038631,52.78682124325535
Chaffinch,22_6_C,2022.0,-2.435489165590459,52.786603718936064
Yellowhammer,22_6_C,2022.0,-2.435762426770373,52.78617060196807
Whitethroat,22_6_C,2022.0,-2.435652213452824,52.78640298345418
Woodpigeon,22_6_A,2022.0,-2.4317712187378127,52.78986764682188
Woodpigeon,22_6_B,2022.0,-2.429468131001801,52.78883176970626
Woodpigeon,22_6_A,2022.0,-2.430417143926784,52.78732420891438
Woodpigeon,22_6_C,2022.0,-2.4309208666116997,52.78750909805784
Chiffchaff,22_6_A,2022.0,-2.431221598077315,52.78965872398205
Chiffchaff,22_6_B,2022.0,-2.430768770029262,52.789432158325546
Chiffchaff,22_6_C,2022.0,-2.430688648794054,52.7894047873426
Chiffchaff,22_6_A,2022.0,-2.4317563361005394,52.788941024741554
Chiffchaff,22_6_A,2022.0,-2.43091622306169,52.7876163051254
Nuthatch,22_6_A,2022.0,-2.431380062990371,52.787804794976665
Nuthatch,22_6_A,2022.0,-2.4299010736331033,52.788778334882764
Blue tit,22_6_C,2022.0,-2.429677541185939,52.78751015155337
Blue tit,22_6_A,2022.0,-2.4293831901406944,52.78773597128037
Blue tit,22_6_A,2022.0,-2.428137754824172,52.78810353752507
Blue tit,22_6_A,2022.0,-2.431001401018014,52.788155404289725
Blue tit,22_6_C,2022.0,-2.4310682059350417,52.7885666334692
Blue tit,22_6_B,2022.0,-2.4309078638320987,52.78850151896889
Great spotted wood,22_6_A,2022.0,-2.4296719516953815,52.78867889054718
Great tit,22_6_A,2022.0,-2.4302670804237616,52.788299838390174
Wren,22_6_A,2022.0,-2.4317466941313235,52.7885434188659
Wren,22_6_C,2022.0,-2.4302883202890286,52.788718148787154
Wren,22_6_A,2022.0,-2.429637573101616,52.78808428251226
Wren,22_6_C,2022.0,-2.429258196411206,52.78778483224268
Wren,22_6_B,2022.0,-2.42876409197843,52.78799754228147
Wren,22_6_B,2022.0,-2.4261478705497423,52.78875038780726
Wren,22_6_C,2022.0,-2.4267368537768075,52.78832296702911
Wren,22_6_A,2022.0,-2.4269264166567877,52.7884605946601
Wren,22_6_B,2022.0,-2.4268297991760734,52.78849551990708
Robin,22_6_A,2022.0,-2.424450700257395,52.789005431941455
Robin,22_6_C,2022.0,-2.424285908330454,52.78906826106022
Robin,22_6_A,2022.0,-2.426261463883334,52.788701571115645
Robin,22_6_A,2022.0,-2.4272711996225707,52.78814124021483
Robin,22_6_B,2022.0,-2.429657579835762,52.78837811858331
Great tit,22_6_B,2022.0,-2.4261284619221146,52.78851533075033
Greenfinch,22_6_A,2022.0,-2.4240212467978703,52.78941844001547
Song thrush,22_6_B,2022.0,-2.430591551398841,52.78765897737453
Blackbird,22_6_B,2022.0,-2.4294649286293106,52.788506753047585
Blackbird,22_6_C,2022.0,-2.429408864165491,52.78802632914066
Goldcrest,22_6_C,2022.0,-2.429013843269687,52.78787561789207
Goldcrest,22_6_B,2022.0,-2.429521293527528,52.787859950102025
Whitethroat,22_6_B,2022.0,-2.4271195833903567,52.78838382867993
